# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 20, mean observations per image: 0.0
1 0.6242056247594302 -0.01297588906020456 -0.7773471031104363 -0.07700938649021047 -7.7772145 0.4763218 -0.1332547 1 000000.png

2 0.6425625217979485 -0.018491925741745577 -0.7627053216937726 -0.07107774984495493 -7.7752943 0.43670475 0.041253034 2 000010.png

3 0.7054826358886549 -0.024165415747613474 -0.7047453060140101 -0.07102349465184041 -7.6044755 0.44557783 1.144159 3 000021.png

4 0.8095196049277386 -0.0507291436357895 -0.5828766295668156 -0.04857363408729902 -6.8142633 0.4498768 3.0098298 4 000031.png

5 0.8984184276269195 -0.021606833215560117 -0.4385453128194196 -0.007448641680565082 -5.1303835 -0.1463512 4.5641246 5 000042.png

6 0.9543382361799662 -0.018140656191140418 -0.2981599369723124 -0.003177977742623932 -3.3022394 -0.1517383 5.2777596 6 000052.png

7 0.9856213673898778 -0.021537332765438913 -0.16757862211592797 0.002017139456127697 -1.829379 -0.123389035 5.140925 7 000063.png

8 0.9945645804857426 -0.022805720455295286 -0.10104052369223548 0.010583332638300566 -1.084082 -0.08766181 4.743265 8 000073.png

9 0.9986052655155758 -0.018475055535142306 -0.04775514199804067 0.012870214461586425 -0.5174153 -0.08544949 4.4545097 9 000083.png

10 0.999591772420837 -0.01159167446089676 -0.021070883859754336 0.015425285901122472 -0.26081172 -0.1184605 3.9356127 10 000094.png

11 0.9997898101451239 -0.005665349397784147 -0.01202231919861449 0.015610995716632181 -0.1700641 -0.1172105 3.4928455 11 000104.png

12 0.9997835120628933 -0.012065880364344299 -0.0017473079990195186 0.016860914950759934 -0.11800788 -0.11037579 2.8101351 12 000115.png

13 0.9998340677286601 -0.007717057225260532 0.007610395371799393 0.014641240358238482 -0.047385853 -0.07714659 2.2878237 13 000125.png

14 0.9997530759211866 -0.010894129073338416 0.011592696579193092 0.015514977405175153 -0.008441762 -0.075177625 1.5473623 14 000135.png

15 0.9997238272493816 -0.010714103302754187 0.012085562252943403 0.017070922801537984 -0.0036218292 -0.041514352 0.73511785 15 000146.png

16 0.9996390205159248 -0.011468099355154113 0.01581812993822136 0.018441749494041558 0.0 0.0 0.0 16 000156.png

17 0.999588422590051 -0.015532546625254615 0.015432239230288134 0.018535679421250343 0.0109052835 0.025837755 -0.96207124 17 000167.png

18 0.9995161511074339 -0.018045377380114098 0.018941012652934748 0.01682456746166077 0.0024068202 0.020370165 -1.9860138 18 000177.png

19 0.9993234346489505 -0.01851892570434601 0.027772235893895093 0.015441025407515347 -0.03947859 0.0562169 -2.9728794 19 000188.png

20 0.9990192050987249 -0.012856971443809375 0.038678073629400705 0.017301235491242763 -0.11169888 0.12419386 -3.912918 20 000198.png

