# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 9, mean observations per image: 0.0
1 0.9990387273997099 0.0007536121487260094 0.043789536517179393 0.001878753817794504 0.013587732 -0.015860807 0.60455817 1 00000.png

2 0.9997794356308206 0.0013256406408769816 0.02093532307107949 0.0010173566326949263 -0.0040472364 -0.00466297 0.31615958 2 00035.png

3 0.9999995224807612 -0.0006006036350208066 -0.0007683893991578404 6.237992819702462e-05 0.0 0.0 0.0 3 00069.png

4 0.9999833156188006 -0.0024528521474652927 -0.005174106715553687 -0.0007619842969179586 -0.012519207 0.008067375 -0.26938826 4 00104.png

5 0.9999660319213388 -0.003805790903338757 -0.007305225727147275 -0.0002909229574089796 -0.028033156 0.012043812 -0.5233262 5 00139.png

6 0.9998773296719974 -0.005318610735539621 -0.014730341608849798 -0.000234571792879129 -0.01036649 0.019210933 -0.7585832 6 00173.png

7 0.9985364974593511 -0.01078982325662928 -0.05295721110588256 -0.0019941784245090257 0.06541513 0.002535756 -1.0181344 7 00208.png

8 0.9905216010038822 -0.01280519782582844 -0.1366696110015954 -0.0049398665994031445 0.2201199 -0.003964359 -1.2155635 8 00242.png

9 0.9670050089823922 -0.006919506077377411 -0.25450219700088206 -0.009058960223647773 0.49778065 0.01860644 -1.3392947 9 00278.png

