# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 12, mean observations per image: 0.0
1 0.6462746907350437 -0.02873735144657021 -0.7574868757676733 -0.08784544260739846 -8.413781 0.6535148 -1.166435 1 000001.png

2 0.6652815906371767 -0.028585164908609784 -0.7414882840842523 -0.08233114885756995 -8.465979 0.5632788 -0.80155694 2 000018.png

3 0.8404857301166532 -0.0694787815058012 -0.5365042060303005 -0.030326115849921235 -7.5447845 0.5359405 3.8529983 3 000036.png

4 0.9220730628090097 -0.027936947810647816 -0.3860049729161424 0.0009770737156229348 -5.3630366 -0.14739753 5.7502675 4 000054.png

5 0.9889828642945081 -0.0282342214741775 -0.14352348629116107 0.02273173447866209 -1.7955118 -0.1121935 5.7881923 5 000072.png

6 0.9990217782822398 -0.01796120347453061 -0.03142884663836537 0.025399001683532273 -0.425298 -0.095097065 4.916157 6 000090.png

7 0.9993971834612588 -0.01985740045828383 -0.01111592168955496 0.026218116288831746 -0.2518178 -0.1099727 4.18923 7 000107.png

8 0.9994926913173569 -0.013446375951492878 0.0012096495194489842 0.028846000155964953 -0.10845704 -0.083434574 2.8775282 8 000125.png

9 0.9993302850062287 -0.018320630971775134 0.013167491671518273 0.02880890683879555 -0.012084974 -0.041489244 1.0141188 9 000143.png

10 0.9991580940241014 -0.017533990358272713 0.015562385574092936 0.033667112788068033 0.0 0.0 0.0 10 000161.png

11 0.9990386385515243 -0.021679921462920287 0.017822948640854798 0.03367673066412896 0.004552562 0.043839328 -2.403247 11 000179.png

12 0.9985968096512743 -0.016448865280857174 0.03922452913925594 0.03154810452423684 -0.15012242 0.16835827 -4.9245195 12 000197.png

